seed,mean_reward,total_reward,steps,AWT,ATT,throughput,cpu_utilization,energy_proxy,completed,invalid_actions
0.0,-0.4403150946230697,-1806.1725181438321,4102.0,154.12671604630285,170.9274874119569,0.0594734650063555,1.0,2500.2747020727566,2974.0,23.0
1.0,-0.43279375355609806,-1806.4811273431533,4174.0,149.28120604552075,165.57481156976428,0.061275579179855294,1.0,2500.1803663141127,3064.0,26.0
2.0,-0.4390117591618152,-1830.2400239456074,4169.0,150.29748782967116,166.7146707315208,0.0607899866471103,1.0,2500.411801081148,3040.0,33.0
3.0,-0.43907047619177847,-1802.8233752434423,4106.0,151.67013933609084,168.25716701299896,0.060239846553632466,1.0,2500.006368142364,3012.0,31.0
4.0,-0.44217430317901707,-1793.9011479972723,4057.0,158.5196475085361,175.7669814136832,0.05791041120649832,1.0,2500.4139494652995,2896.0,30.0
