scheduler,AWT,ATT,throughput,cpu_utilization,energy_proxy,completed,makespan,forecast_steps_used,mean_confidence,trusted_forecast_rate
FCFS,18.474660941983068,34.43383631844605,0.033259814123874076,0.5307992065914667,398.97938441157453,500.0,15033.15677405116,,,
SJF,13.511355629271058,29.47053100573404,0.033259814123874076,0.5307992065914667,398.97938441157453,500.0,15033.15677405116,,,
RR_20,19.190241358455264,35.14941673491825,0.033259814123874076,0.5307992065914667,398.97938441157453,500.0,15033.15677405116,,,
Confidence_Rule_WPM,11.542288015772574,27.501463392235554,0.033259814123874076,0.5307992065914667,398.97938441157453,500.0,15033.15677405116,668.0,0.8021806827969403,0.9341317365269461
