model,split,MAE,RMSE,MAPE
LSTM_baseline,test,0.076673611998558,0.1015197709202766,19.64232325553894
LSTM_only,test,0.0777850076556205,0.102186731994152,20.08795738220215
CNN_LSTM,test,0.075064368546009,0.0991310775279998,19.309546053409576
LSTM_Attention,test,0.0771859362721443,0.1015701368451118,19.80942040681839
WPM_H1,test,0.0619948841631412,0.0840286538004875,15.321417152881622
WPM_H5,test,0.0697633400559425,0.0922506377100944,18.27359050512314
WPM_H10,test,0.0758824795484542,0.1005460023880004,18.890921771526337
CNN_LSTM_Attn,test,0.07436925917863846,0.09767377376556396,19.12471503019333
